vehicle,zone,direction,year,month,n_trips,Borough,zone_name,crz_zone,charged_share
hvfhv,1,dropoff,2024,2,127130,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2024,3,141384,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2024,4,142899,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2024,5,155973,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2024,6,139637,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2025,2,135871,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2025,3,156031,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2025,4,132711,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2025,5,130494,EWR,Newark Airport,false,0.6713
hvfhv,1,dropoff,2025,6,134053,EWR,Newark Airport,false,0.6713
hvfhv,1,pickup,2024,2,1,EWR,Newark Airport,false,0.0
hvfhv,1,pickup,2024,4,1,EWR,Newark Airport,false,0.0
hvfhv,1,pickup,2024,5,1,EWR,Newark Airport,false,0.0
hvfhv,1,pickup,2025,2,1,EWR,Newark Airport,false,0.0
hvfhv,1,pickup,2025,3,2,EWR,Newark Airport,false,0.0
hvfhv,2,dropoff,2024,2,34,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2024,3,33,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2024,4,53,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2024,5,73,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2024,6,73,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2025,2,17,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2025,3,35,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2025,4,67,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2025,5,74,Queens,Jamaica Bay,false,0.0789
hvfhv,2,dropoff,2025,6,58,Queens,Jamaica Bay,false,0.0789
hvfhv,2,pickup,2024,2,26,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2024,3,31,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2024,4,49,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2024,5,58,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2024,6,67,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2025,2,20,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2025,3,40,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2025,4,52,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2025,5,70,Queens,Jamaica Bay,false,0.0606
hvfhv,2,pickup,2025,6,64,Queens,Jamaica Bay,false,0.0606
hvfhv,3,dropoff,2024,2,40392,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2024,3,44472,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2024,4,41197,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2024,5,43080,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2024,6,40832,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2025,2,42410,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2025,3,45624,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2025,4,42925,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2025,5,46547,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,dropoff,2025,6,43823,Bronx,Allerton/Pelham Gardens,false,0.0277
hvfhv,3,pickup,2024,2,42752,Bronx,Allerton/Pelham Gardens,false,0.0216
hvfhv,3,pickup,2024,3,47175,Bronx,Allerton/Pelham Gardens,false,0.0216
hvfhv,3,pickup,2024,4,43754,Bronx,Allerton/Pelham Gardens,false,0.0216
hvfhv,3,pickup,2024,5,44486,Bronx,Allerton/Pelham Gardens,false,0.0216
hvfhv,3,pickup,2024,6,42516,Bronx,Allerton/Pelham Gardens,false,0.0216
hvfhv,3,pickup,2025,2,44173,Bronx,Allerton/Pelham Gardens,false,0.0216
hvfhv,3,pickup,2025,3,48073,Bronx,Allerton/Pelham Gardens,false,0.0216
