zone,direction,n_2024,n_2025,pct_volume_change,avg_total_cost_2024,avg_total_cost_2025,avg_distance_2024,avg_distance_2025,low_n_flag
1,dropoff,40592,33533,-0.1739,115.44,117.8,18.072,17.972,false
1,pickup,464,436,-0.0603,85.88,86.06,4.024,4.377,false
2,dropoff,31,32,0.0323,43.76,46.26,9.421,9.918,true
2,pickup,18,20,0.1111,53.96,62.86,12.169,15.074,true
3,dropoff,1223,1142,-0.0662,63.19,63.11,13.382,14.145,false
3,pickup,486,555,0.142,43.34,43.67,9.668,10.549,false
4,dropoff,55871,55020,-0.0152,22.35,22.91,2.913,2.892,false
4,pickup,16391,19485,0.1888,21.48,21.66,2.774,2.71,false
5,dropoff,69,47,-0.3188,134.86,142.97,30.008,29.86,true
5,pickup,,,,,,,,true
6,dropoff,408,363,-0.1103,65.86,63.86,14.544,13.227,false
6,pickup,149,219,0.4698,24.06,21.52,6.966,6.373,false
7,dropoff,35714,32174,-0.0991,33.22,33.27,5.479,5.466,false
7,pickup,6024,6275,0.0417,22.94,24.99,3.352,3.53,false
8,dropoff,204,188,-0.0784,38.24,34.77,6.946,5.603,false
8,pickup,57,83,0.4561,73.42,65.28,8.631,5.892,true
9,dropoff,1460,1405,-0.0377,50.63,49.51,10.569,10.266,false
9,pickup,226,184,-0.1858,35.73,36.53,7.46,8.352,false
10,dropoff,13671,14931,0.0922,30.55,29.83,5.318,5.19,false
10,pickup,5228,4647,-0.1111,68.46,73.16,12.405,12.719,false
11,dropoff,1015,987,-0.0276,64.1,60.77,14.847,13.608,false
11,pickup,358,444,0.2402,45.3,40.84,10.345,9.389,false
12,dropoff,8897,7783,-0.1252,28.55,28.46,4.323,4.195,false
12,pickup,5795,5334,-0.0796,30.02,29.74,4.452,4.307,false
13,dropoff,109133,105818,-0.0304,29.78,30.28,4.878,4.866,false
13,pickup,87330,88192,0.0099,28.59,29.02,4.414,4.386,false
14,dropoff,9585,10029,0.0463,64.3,62.84,14.087,13.692,false
14,pickup,1841,2372,0.2884,40.67,38.71,9.353,8.718,false
15,dropoff,1828,1702,-0.0689,54.99,54.74,11.736,11.747,false
15,pickup,168,137,-0.1845,47.68,50.64,10.783,11.423,false
16,dropoff,2517,2459,-0.023,55.66,55.51,12.063,12.123,false
16,pickup,250,272,0.088,44.66,42.8,9.09,9.723,false
17,dropoff,15496,15299,-0.0127,44.89,44.46,8.175,7.995,false
17,pickup,2456,2758,0.123,27.96,26.52,5.166,4.845,false
18,dropoff,1891,2009,0.0624,59.21,57.55,12.584,12.5,false
18,pickup,658,935,0.421,41.28,40.87,9.102,9.952,false
19,dropoff,2045,2007,-0.0186,49.53,49.03,10.894,11.056,false
19,pickup,425,371,-0.1271,46.47,46.13,10.03,11.135,false
20,dropoff,1656,1663,0.0042,58.78,58.13,12.179,12.043,false
20,pickup,552,675,0.2228,38.0,38.22,8.155,8.909,false
21,dropoff,1714,1768,0.0315,59.47,56.62,13.301,12.329,false
21,pickup,627,790,0.26,39.39,35.05,8.405,7.467,false
22,dropoff,2330,2459,0.0554,61.33,57.16,13.503,12.321,false
22,pickup,934,1044,0.1178,37.76,34.3,7.968,7.246,false
23,dropoff,316,298,-0.057,115.18,115.31,23.767,23.999,false
23,pickup,17,20,0.1765,79.27,65.89,14.494,11.654,true
24,dropoff,48862,46330,-0.0518,22.47,22.72,3.234,3.25,false
24,pickup,37237,33759,-0.0934,19.25,19.05,2.498,2.432,false
25,dropoff,25355,26888,0.0605,45.14,45.19,8.519,8.507,false
25,pickup,5183,5715,0.1026,25.96,26.83,4.352,4.528,false
26,dropoff,4412,4568,0.0354,62.89,60.06,13.378,12.613,false
26,pickup,1130,1358,0.2018,32.79,29.54,6.336,5.579,false
27,dropoff,312,300,-0.0385,77.01,74.29,17.375,16.73,false
27,pickup,18,19,0.0556,42.55,40.89,7.723,9.853,true
28,dropoff,4924,5082,0.0321,38.64,37.71,7.397,7.13,false
28,pickup,1480,1221,-0.175,52.73,57.3,8.903,9.089,false
29,dropoff,2230,2216,-0.0063,59.78,58.35,13.617,13.405,false
29,pickup,1022,922,-0.0978,44.68,42.0,10.214,10.049,false
30,dropoff,150,148,-0.0133,49.3,51.11,10.548,11.126,false
30,pickup,14,12,-0.1429,38.69,36.97,5.494,6.982,true
31,dropoff,792,801,0.0114,58.01,57.94,12.178,11.999,false
31,pickup,67,93,0.3881,44.3,44.78,7.959,9.364,true
32,dropoff,1224,1158,-0.0539,59.12,59.17,12.493,12.802,false
32,pickup,589,720,0.2224,42.62,42.22,9.839,10.319,false
33,dropoff,39921,41608,0.0423,39.09,39.56,7.196,7.257,false
33,pickup,5775,5916,0.0244,27.48,28.63,4.613,4.842,false
34,dropoff,1806,1683,-0.0681,36.97,37.66,6.231,6.37,false
34,pickup,250,478,0.912,28.52,32.89,4.402,4.659,false
35,dropoff,4452,4920,0.1051,39.36,38.2,7.732,7.783,false
35,pickup,3304,3875,0.1728,31.17,32.21,6.242,6.554,false
36,dropoff,8597,8746,0.0173,44.53,43.36,8.162,7.807,false
36,pickup,807,1310,0.6233,29.55,29.19,5.298,5.029,false
37,dropoff,14155,14960,0.0569,43.21,42.47,7.865,7.615,false
37,pickup,1843,2531,0.3733,29.72,29.59,5.642,5.547,false
38,dropoff,2943,3175,0.0788,42.54,42.49,9.104,9.285,false
38,pickup,718,710,-0.0111,49.29,52.94,11.698,12.786,false
39,dropoff,7056,7685,0.0891,43.77,41.19,9.275,8.753,false
39,pickup,3670,4441,0.2101,37.08,36.59,7.577,7.534,false
40,dropoff,13528,13740,0.0157,47.77,48.71,9.237,9.365,false
40,pickup,1493,1315,-0.1192,24.51,23.74,3.53,3.4,false
41,dropoff,85175,81016,-0.0488,26.27,26.9,4.052,4.153,false
41,pickup,32772,32727,-0.0014,18.97,19.21,2.584,2.699,false
42,dropoff,52978,49016,-0.0748,30.96,31.36,5.238,5.351,false
42,pickup,13502,13714,0.0157,23.03,23.38,3.756,4.041,false
43,dropoff,180640,165604,-0.0832,19.79,20.0,2.185,2.141,false
43,pickup,254170,236240,-0.0705,19.95,20.16,2.186,2.144,false
44,dropoff,68,84,0.2353,152.24,147.17,33.024,32.834,true
44,pickup,3,2,-0.3333,127.73,20.38,14.677,10.285,true
45,dropoff,39658,40687,0.0259,25.79,25.83,3.619,3.513,false
45,pickup,19903,22322,0.1215,25.76,25.78,3.453,3.415,false
46,dropoff,414,417,0.0072,73.05,72.57,16.248,16.461,false
46,pickup,77,92,0.1948,51.0,50.01,12.767,12.171,true
47,dropoff,1562,1453,-0.0698,49.22,48.44,9.648,10.077,false
47,pickup,780,993,0.2731,37.99,39.65,8.042,9.187,false
48,dropoff,366348,357977,-0.0228,23.86,23.96,2.868,2.774,false
48,pickup,393344,380094,-0.0337,20.86,21.03,2.468,2.382,false
49,dropoff,20147,21376,0.061,44.03,43.85,8.107,7.976,false
49,pickup,2218,2837,0.2791,28.39,28.04,5.218,5.274,false
50,dropoff,158795,150957,-0.0494,21.29,21.43,2.392,2.358,false
50,pickup,85577,78969,-0.0772,20.74,20.79,2.519,2.433,false
51,dropoff,2820,3325,0.1791,60.68,57.06,13.351,13.228,false
51,pickup,1905,1989,0.0441,46.85,46.83,10.837,11.807,false
52,dropoff,10097,10748,0.0645,43.67,44.09,8.287,8.343,false
52,pickup,2398,2173,-0.0938,25.5,25.55,4.05,4.037,false
53,dropoff,1960,1758,-0.1031,45.25,45.15,8.878,8.765,false
53,pickup,219,395,0.8037,46.01,43.32,9.596,8.663,false
54,dropoff,3422,3733,0.0909,47.32,46.74,9.148,8.898,false
54,pickup,217,292,0.3456,30.7,32.6,5.27,4.86,false
55,dropoff,3047,4227,0.3873,58.25,53.85,13.565,12.665,false
55,pickup,1893,2627,0.3877,45.34,45.03,10.991,11.186,false
56,dropoff,3840,4990,0.2995,40.83,40.91,7.818,8.363,false
56,pickup,1162,1140,-0.0189,45.25,46.94,7.216,7.614,false
57,dropoff,260,208,-0.2,40.43,42.47,7.271,7.71,false
57,pickup,38,53,0.3947,40.34,47.24,7.414,8.41,true
58,dropoff,390,385,-0.0128,64.77,63.85,13.586,13.384,false
58,pickup,15,72,3.8,47.87,45.53,10.897,10.918,true
59,dropoff,87,73,-0.1609,58.02,51.7,9.501,10.249,true
59,pickup,20,12,-0.4,50.32,45.47,12.885,7.822,true
60,dropoff,1088,942,-0.1342,51.46,49.84,10.462,10.428,false
60,pickup,554,662,0.1949,38.8,39.42,8.895,9.261,false
61,dropoff,21101,22442,0.0636,46.47,44.95,8.801,8.448,false
61,pickup,5460,6673,0.2222,29.21,28.4,5.583,5.362,false
