zone,direction,year,month,n_trips,Borough,zone_name,crz_zone,charged_share
1,dropoff,2024,2,6573,EWR,Newark Airport,false,0.7876
1,dropoff,2024,3,7975,EWR,Newark Airport,false,0.7876
1,dropoff,2024,4,8819,EWR,Newark Airport,false,0.7876
1,dropoff,2024,5,10074,EWR,Newark Airport,false,0.7876
1,dropoff,2024,6,8779,EWR,Newark Airport,false,0.7876
1,dropoff,2025,2,5528,EWR,Newark Airport,false,0.7876
1,dropoff,2025,3,7639,EWR,Newark Airport,false,0.7876
1,dropoff,2025,4,7388,EWR,Newark Airport,false,0.7876
1,dropoff,2025,5,7712,EWR,Newark Airport,false,0.7876
1,dropoff,2025,6,6895,EWR,Newark Airport,false,0.7876
1,pickup,2024,2,278,EWR,Newark Airport,false,0.0106
1,pickup,2024,3,352,EWR,Newark Airport,false,0.0106
1,pickup,2024,4,496,EWR,Newark Airport,false,0.0106
1,pickup,2024,5,580,EWR,Newark Airport,false,0.0106
1,pickup,2024,6,467,EWR,Newark Airport,false,0.0106
1,pickup,2025,2,308,EWR,Newark Airport,false,0.0106
1,pickup,2025,3,349,EWR,Newark Airport,false,0.0106
1,pickup,2025,4,456,EWR,Newark Airport,false,0.0106
1,pickup,2025,5,519,EWR,Newark Airport,false,0.0106
1,pickup,2025,6,469,EWR,Newark Airport,false,0.0106
2,dropoff,2024,2,5,Queens,Jamaica Bay,false,0.0625
2,dropoff,2024,3,7,Queens,Jamaica Bay,false,0.0625
2,dropoff,2024,4,6,Queens,Jamaica Bay,false,0.0625
2,dropoff,2024,5,8,Queens,Jamaica Bay,false,0.0625
2,dropoff,2024,6,6,Queens,Jamaica Bay,false,0.0625
2,dropoff,2025,2,5,Queens,Jamaica Bay,false,0.0625
2,dropoff,2025,3,5,Queens,Jamaica Bay,false,0.0625
2,dropoff,2025,4,6,Queens,Jamaica Bay,false,0.0625
2,dropoff,2025,5,9,Queens,Jamaica Bay,false,0.0625
2,dropoff,2025,6,9,Queens,Jamaica Bay,false,0.0625
2,pickup,2024,2,2,Queens,Jamaica Bay,false,0.3158
2,pickup,2024,3,8,Queens,Jamaica Bay,false,0.3158
2,pickup,2024,4,4,Queens,Jamaica Bay,false,0.3158
2,pickup,2024,5,2,Queens,Jamaica Bay,false,0.3158
2,pickup,2024,6,3,Queens,Jamaica Bay,false,0.3158
2,pickup,2025,2,3,Queens,Jamaica Bay,false,0.3158
2,pickup,2025,3,3,Queens,Jamaica Bay,false,0.3158
2,pickup,2025,4,8,Queens,Jamaica Bay,false,0.3158
2,pickup,2025,5,3,Queens,Jamaica Bay,false,0.3158
2,pickup,2025,6,5,Queens,Jamaica Bay,false,0.3158
3,dropoff,2024,2,199,Bronx,Allerton/Pelham Gardens,false,0.1715
3,dropoff,2024,3,252,Bronx,Allerton/Pelham Gardens,false,0.1715
3,dropoff,2024,4,248,Bronx,Allerton/Pelham Gardens,false,0.1715
