sample_row_id,service_type,year,month,pickup_datetime,dropoff_datetime,pickup_date,pickup_hour,day_of_week,PULocationID,DOLocationID,trip_distance_miles,trip_duration_seconds,cbd_congestion_fee,congestion_surcharge,tolls,airport_fee,tip_amount,total_amount,passenger_cost_pretip,fare_amount,payment_type,passenger_count,RatecodeID,source_file,charged_cbd_flag,passenger_cost_excl_cbd,relative_cbd_burden,yellow_payment_type_label,yellow_card_or_cash_flag,yellow_no_charge_dispute_void_flag,yellow_payment_unknown_flag,yellow_payment_review_flag,flex_fare_flag,component_total_diff,component_total_match_flag,zero_distance_flag,very_long_duration_flag,very_long_distance_flag,negative_cost_flag,sampling_stratum,stratum_population_n,stratum_sample_n,sample_weight
1,yellow,2024,2,2024-02-27 18:38:08,2024-02-27 18:51:09,2024-02-27,18,1,138,7,3.96,781.0,0.0,0.0,0.0,1.75,5.83,34.98,29.15,18.4,1,4.0,1.0,yellow_tripdata_2024-02.parquet,False,29.15,0.0,Credit card,True,False,False,False,False,9.0,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
2,yellow,2024,2,2024-02-28 18:14:38,2024-02-28 18:20:40,2024-02-28,18,2,113,68,1.0,362.0,0.0,2.5,0.0,0.0,3.6,18.0,14.4,7.9,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,14.4,0.0,Credit card,True,False,False,False,False,4.0,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
3,yellow,2024,2,2024-02-25 15:29:10,2024-02-25 15:33:47,2024-02-25,15,6,239,238,0.8,277.0,0.0,2.5,0.0,0.0,2.24,13.44,11.2,7.2,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,11.2,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
4,yellow,2024,2,2024-02-13 12:55:49,2024-02-13 12:59:11,2024-02-13,12,1,161,161,0.47,202.0,0.0,2.5,0.0,0.0,0.0,9.1,9.1,5.1,2,1.0,1.0,yellow_tripdata_2024-02.parquet,False,9.1,0.0,Cash,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
5,yellow,2024,2,2024-02-03 08:58:50,2024-02-03 09:02:43,2024-02-03,8,5,186,234,0.5,233.0,0.0,2.5,0.0,0.0,0.0,9.8,9.8,5.8,2,1.0,1.0,yellow_tripdata_2024-02.parquet,False,9.8,0.0,Cash,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
6,yellow,2024,2,2024-02-08 07:28:14,2024-02-08 07:46:07,2024-02-08,7,3,186,79,1.95,1073.0,0.0,2.5,0.0,0.0,4.2,25.2,21.0,17.0,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,21.0,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
7,yellow,2024,2,2024-02-10 12:46:46,2024-02-10 12:50:35,2024-02-10,12,5,237,236,0.8,229.0,0.0,2.5,0.0,0.0,2.62,13.12,10.5,6.5,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,10.5,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
8,yellow,2024,2,2024-02-16 10:07:51,2024-02-16 10:18:11,2024-02-16,10,4,237,142,1.1,620.0,0.0,2.5,0.0,0.0,3.05,18.45,15.399999999999999,11.4,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,15.399999999999999,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
9,yellow,2024,2,2024-02-18 06:46:28,2024-02-18 06:55:37,2024-02-18,6,6,137,230,1.69,549.0,0.0,2.5,0.0,0.0,0.0,15.4,15.4,11.4,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,15.4,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
10,yellow,2024,2,2024-02-13 08:20:42,2024-02-13 08:26:59,2024-02-13,8,1,48,163,0.98,377.0,0.0,2.5,0.0,0.0,3.57,15.47,11.9,7.9,1,1.0,1.0,yellow_tripdata_2024-02.parquet,False,11.9,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_02,2970277,10,297027.7
11,yellow,2024,3,2024-03-15 09:24:57,2024-03-15 09:51:20,2024-03-15,9,4,263,186,4.02,1583.0,0.0,2.5,0.0,0.0,9.24,40.04,30.799999999999997,26.8,1,1.0,1.0,yellow_tripdata_2024-03.parquet,False,30.799999999999997,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_03,3536782,10,353678.2
12,yellow,2024,3,2024-03-07 10:32:37,2024-03-07 10:37:04,2024-03-07,10,3,13,231,0.63,267.0,0.0,2.5,0.0,0.0,0.52,11.02,10.5,6.5,1,1.0,1.0,yellow_tripdata_2024-03.parquet,False,10.5,0.0,Credit card,True,False,False,False,False,1.5,False,False,False,False,False,yellow_2024_03,3536782,10,353678.2
13,yellow,2024,3,2024-03-30 22:49:20,2024-03-30 23:21:42,2024-03-30,22,5,233,37,8.96,1942.0,0.0,2.5,0.0,0.0,11.62,58.12,46.5,41.5,1,1.0,1.0,yellow_tripdata_2024-03.parquet,False,46.5,0.0,Credit card,True,False,False,False,False,2.5,False,False,False,False,False,yellow_2024_03,3536782,10,353678.2
