trip_length,q,mean_DS_z,median_DS_z,n_zone_directions,median_trip_count
short,1,0.05150721091369045,0.05474452554744526,33,1423.0
short,2,0.05952380952380953,0.05952380952380953,22,38298.5
short,3,0.06130268084481389,0.06147540983606558,35,35443.0
short,4,0.0632263755340375,0.06302521008403361,19,53140.0
medium,1,0.037906174791278925,0.0390625,33,34411.0
medium,2,0.04092550607527566,0.04120879120879121,42,87311.0
medium,3,0.042048108784924466,0.042134831460674156,19,103868.0
medium,4,0.04352360829380374,0.0436046511627907,19,116206.0
long,1,0.017227046323626607,0.017146776406035666,33,19406.0
long,2,0.023054322816525526,0.023076923076923078,33,33057.0
long,3,0.024504838711713113,0.024350649350649352,38,35686.5
long,4,0.0260594846288928,0.02613240418118467,25,26895.0
