zone,direction,zone_name,Borough,DS_z,DS_z_median,N_z,DS_z_rank
4,dropoff,Alphabet City,Manhattan,0.0638062691634129,0.059311981020166,239356,1
224,dropoff,Stuy Town/Peter Cooper Village,Manhattan,0.0630631724424736,0.0594294770206022,160441,2
79,dropoff,East Village,Manhattan,0.0625063970858988,0.0578034682080924,983593,3
249,dropoff,West Village,Manhattan,0.0619428471480524,0.0588466065123577,742528,4
114,dropoff,Greenwich Village South,Manhattan,0.061734326809369,0.0576258163657318,526218,5
137,dropoff,Kips Bay,Manhattan,0.0615012214155167,0.0568828213879408,499679,6
232,dropoff,Two Bridges/Seward Park,Manhattan,0.0613947558487216,0.0566251415628539,353805,7
113,dropoff,Greenwich Village North,Manhattan,0.0613567843719461,0.0570559147965005,492654,8
107,dropoff,Gramercy,Manhattan,0.0609879763960402,0.0566251415628539,628489,9
45,dropoff,Chinatown,Manhattan,0.0604901079457222,0.055045871559633,212931,10
90,dropoff,Flatiron,Manhattan,0.0601943860856033,0.0564971751412429,545771,11
229,dropoff,Sutton Place/Turtle Bay North,Manhattan,0.0601614875511849,0.0557413600891861,427328,12
4,pickup,Alphabet City,Manhattan,0.0601567794999745,0.0561797752808988,284803,1
50,dropoff,Clinton West,Manhattan,0.0599829042740042,0.0546846518410499,424843,13
137,pickup,Kips Bay,Manhattan,0.0593691664813296,0.0556379821958456,509958,2
