trip_length,q,avg_DS_z,avg_vol,n
short,1,0.05150721091369045,-0.01983333333333333,33
short,2,0.05952380952380953,-0.013995454545454545,22
short,3,0.06130268084481389,0.005088571428571429,35
short,4,0.0632263755340375,-0.026331578947368418,19
medium,1,0.037906174791278925,-0.029127272727272727,33
medium,2,0.04092550607527566,-0.0010452380952380952,42
medium,3,0.042048108784924466,-0.0029894736842105275,19
medium,4,0.04352360829380374,-0.022894736842105263,19
long,1,0.017227046323626607,-0.0014151515151515149,33
long,2,0.023054322816525526,-0.0066,33
long,3,0.024504838711713113,-0.016113157894736843,38
long,4,0.0260594846288928,-0.017464,25
